"ایچ ای سی نیڈ بیسڈ اسکالرشپ درخواست طریقہ کار یونیورسٹی سطح","Urdu_Conversational","ایچ ای سی نیڈ بیسڈ اسکالرشپ کے لیے درخواستیں براہ راست متعلقہ یونیورسٹی میں جمع کروائی جاتی ہیں، ایچ ای سی خود براہ راست کوئی درخواست فارم وصول نہیں کرتا۔"
"HEC Need Based Scholarship Application Process University Level","Urdu_Literal","HEC Need Based Scholarship ki applications direct university mein jama hoti hain, HEC direct koi form accept nahi karta."
"ایچ ای سی وظیفہ فارم یونیورسٹی وچ دینا ایچ ای سی دا دفتر نہیں لیندا","Urdu_Parent_Regional","ایچ ای سی دا وظیفہ لین لئی درخواست فارم یونیورسٹی دے دفتر وچ ای جمع کروانا پیندا اے، اوہ آپ ایچ ای سی دے دفتر نہیں بھجوانا۔"
"بے نظیر انڈرگریجویٹ اسکالرشپ مقصد تعلیمی مالی معاونت","Urdu_Conversational","بے نظیر انڈرگریجویٹ اسکالرشپ پروجیکٹ حکومتِ پاکستان کا ایک اقدام ہے جس کا مقصد ان طلباء کی مالی معاونت کرنا ہے جو معاشی مشکلات کی وجہ سے اپنی 4 سے 5 سالہ ڈگری جاری نہیں رکھ سکتے۔"
"Benazir Undergraduate Scholarship Project Objective Financial Support","Urdu_Literal","Benazir Undergraduate Scholarship Project ka maqsad un students ki help karna hai jo financial issues ki wajah se apni 4-5 years degree continue nahi kar sakte."
"بے نظیر وظیفہ غریب بچیاں لئی حکومت پاکستان دی مدد","Urdu_Parent_Regional","بے نظیر وظیفہ حکومت پاکستان ولوں اوہناں بچیاں لئی اے جیہڑے غریب نیں تے اپنی چار-پنج سالہ ڈگری پیسے نہ ہون پاروں پوری نہیں کر سکدے۔"
"بے نظیر اسکالرشپ مخصوص نشستیں طالبات معذور طلباء","Urdu_Conversational","بے نظیر اسکالرشپ کا 50 فیصد حصہ طالبات کے لیے اور 2 فیصد حصہ خصوصی ضروریات کے حامل (معذور) طلباء کے لیے مخصوص کیا گیا ہے۔"
"Benazir Scholarship Reserved Quota Female Disabled Students","Urdu_Literal","Benazir scholarship ka 50% female students ke liye aur 2% disabled students ke liye reserve quota hai."
"وظیفہ ادھا کڑیاں لئی باقی معذور بچیاں لئی پکا حصہ","Urdu_Parent_Regional","اس وظیفے وچوں ادھا حصہ (50 فیصد) کڑیاں (طالبات) واسطے تے 2 فیصد حصہ اوہناں بچیاں واسطے اے جیہڑے معذور نیں۔"
"بے نظیر اسکالرشپ اہلیت میرٹ داخلہ عمر کی حد","Urdu_Conversational","اس اسکالرشپ کے لیے طالب علم کا کسی ایچ ای سی سے منظور شدہ پروگرام میں میرٹ کی بنیاد پر داخلہ ہونا اور یونیورسٹی کی مقررہ عمر کی حد کے اندر ہونا لازمی ہے۔"
